timestamp(Asia/Seoul),temp(Â°C),humid,co2,voc,pm25,light,noise
2019-09-20 0:00,25.5,41.7,4262.3,613.6,5.6,395.1,50.4
2019-09-20 0:15,25.6,42,4190.8,612.9,5.7,179.9,50.2
2019-09-20 0:30,25.7,42.5,4045,586.6,6,0,50.2
2019-09-20 0:45,25.7,43,3881.4,575.3,6.1,0,50.2
2019-09-20 1:00,25.7,43.3,3797.8,570.8,6.1,0,50.2
2019-09-20 1:15,25.8,43.7,3646,560.2,6.4,0,50.2
2019-09-20 1:30,25.8,44,3529.4,552,6.7,0,50.2
2019-09-20 1:45,25.8,44.2,3417.8,545.3,7,0,50.2
2019-09-20 2:00,25.9,44.2,3345.7,541.3,7.2,0,50.2
2019-09-20 2:15,26,44.3,3244.2,533.6,7.2,0,50.2
2019-09-20 2:30,26,44.6,3158.1,526.4,7.3,0,50.2
2019-09-20 2:45,26,44.7,3051.5,516.3,7.5,0,50.2
2019-09-20 3:00,25.9,45.1,2886.5,498.7,7.8,0,50.3
2019-09-20 3:15,25.8,46.2,2776.9,490.4,8,118.6,52
2019-09-20 3:30,25.3,48.6,2294.8,428.2,8.9,396.8,52.3
2019-09-20 3:45,25.3,47.8,1509.2,294,12.6,213.7,52.7
2019-09-20 4:00,25.3,48.1,1290.4,276,12.9,0,50.5
2019-09-20 4:15,25.3,49,1045.7,225.1,13.4,0,50.4
2019-09-20 4:30,25.5,49.7,781.8,166.5,14,0,50.4
2019-09-20 4:45,25.5,50.1,596.8,116.3,14.5,0,50.3
2019-09-20 5:00,25.5,50.4,515.6,92.1,14.7,0,50.4
2019-09-20 5:15,25.5,50.8,455.3,66.1,15.4,0,50.5
2019-09-20 5:30,25.4,51,433,65.3,15.3,0,50.5
2019-09-20 5:45,25.4,51,411.9,48.5,15.6,0,50.5
2019-09-20 6:00,25.4,51.2,400.1,47.8,15.6,0,50.4
2019-09-20 6:15,25.5,51.1,400,50.2,15.5,0,50.4
2019-09-20 6:30,24.7,54.3,404.4,64.8,14.6,0.8,51.8
2019-09-20 6:45,24,57,408.1,72.2,13.8,3.4,51.5
2019-09-20 7:00,24,57.4,427.6,63,13.2,380.2,52
2019-09-20 7:15,24.1,57.1,429.8,45.6,12.9,416.2,51.7
2019-09-20 7:30,24.1,57.3,441.3,45.9,11.9,426,51.6
2019-09-20 7:45,24.2,57.4,458.3,48,11.8,434.6,51.8
2019-09-20 8:00,24.3,57.9,499.9,70.4,11.2,448.2,52.3
2019-09-20 8:15,24.4,58.1,554.8,91,11.1,453.2,52.3
2019-09-20 8:30,24.5,57.5,571.4,102.5,11.2,466.1,52.4
2019-09-20 8:45,24.4,56.7,612.1,96.4,11.2,448.5,52.2
2019-09-20 9:00,24.3,54.1,625.7,66.4,11.4,463.9,52.6
2019-09-20 9:15,24.3,53.3,645.6,83.5,10.8,525.5,52.3
2019-09-20 9:30,24.4,52.9,716.3,111.7,10.1,504.8,52.5
2019-09-20 9:45,24.5,52,811.4,130,9.5,486.9,53
2019-09-20 10:00,24.6,51.8,954.1,154.8,9.2,471.8,52.7
2019-09-20 10:15,25.9,50.3,1057,179,9.4,496,51.6
2019-09-20 10:30,26.5,51.3,1204.8,205.4,9.8,512.3,51.7
2019-09-20 10:45,26.9,52.7,1371.2,235.2,10.7,531.3,51.7
2019-09-20 11:00,26.5,54,1497.7,250.9,11.4,549.9,52.2
2019-09-20 11:15,24.2,53.1,1684.8,267.9,10.7,473.7,53.2
2019-09-20 11:30,25.4,46.3,1858.1,280.2,9.8,464.5,53.1
2019-09-20 11:45,24,48.5,1943,279,10.1,479.5,53.2
2019-09-20 12:00,25.4,48.8,1955.7,310.2,9.6,455,51.4
2019-09-20 12:15,26.4,49.2,1892.9,303.1,9.5,486.1,51.2
2019-09-20 12:30,26.7,49.9,1874.7,302.6,9.4,538,51.3
2019-09-20 12:45,26.2,51.3,1856.6,303.4,9.1,639.9,52.6
2019-09-20 13:00,26.2,47.4,2032.6,310.2,8.5,557.6,53.2
2019-09-20 13:15,26.2,44.3,2090.9,301,7.9,627.9,52.8
2019-09-20 13:30,26.1,43.7,2078.6,287.5,7.5,615.9,52.9
2019-09-20 13:45,26,42.6,2205.4,292.1,7,497.1,53.6
2019-09-20 14:00,25.8,42.6,2228.8,277.2,6.7,552.2,53.3
2019-09-20 14:15,24.1,48.1,2085.9,272.9,6.7,521.8,52.5
2019-09-20 14:30,24.1,48.8,2195.3,289.9,6.7,513.9,53
2019-09-20 14:45,24.7,48.6,2178.9,274.4,6.8,509.3,53.1
2019-09-20 15:00,24.7,48.9,2161.5,261.5,6.8,466.1,53.3
2019-09-20 15:15,24.4,49.7,2077.2,247.4,6.6,467.6,53.2
2019-09-20 15:30,25.7,46.3,2141.4,249.4,6.4,464.6,53.4
2019-09-20 15:45,26.1,42.1,2454.7,268.5,5.8,453.5,53.6
2019-09-20 16:00,26.1,40.4,2624.4,279.4,5.4,445.1,53.7
2019-09-20 16:15,25.9,39.9,2656.7,289.2,5.1,432.8,53.7
2019-09-20 16:30,25.9,39.9,2812.3,307.2,4.8,421.8,53.1
2019-09-20 16:45,26,40.4,3028.1,333.4,4.6,412.9,53.3
2019-09-20 17:00,26.2,42.6,3144.3,362,4.7,411.2,52.3
2019-09-20 17:15,26.7,45,3359.4,385,5,408,52.6
2019-09-20 17:30,27,46.9,3532,402.5,5.2,404.3,52.1
2019-09-20 17:45,27.2,48,3530.9,414.4,5.4,396.5,52.1
2019-09-20 18:00,26.2,49.4,3328.2,409.8,5.4,391.9,53.4
2019-09-20 18:15,26.2,43.5,3307,393.9,4.7,389.5,53.2
2019-09-20 18:30,25.7,40.6,3354.6,387.7,4.4,384.4,53.2
2019-09-20 18:45,25.4,39.7,3401.2,393.4,4.1,386.7,54.1
2019-09-20 19:00,24.8,47.9,3431.6,436.7,4.1,387.5,52.8
2019-09-20 19:15,24.1,54.4,3570.4,464.9,4.2,388.4,52.7
2019-09-20 19:30,24.7,54.3,3633.7,464.1,4.3,389.2,52.4
2019-09-20 19:45,25.8,50,3683.2,460.9,4.2,391.1,51.9
2019-09-20 20:00,26.1,47.3,3867.2,482.2,4.3,388.4,52.6
2019-09-20 20:15,26.2,46.7,3961.4,503.9,4.2,388.2,52.5
2019-09-20 20:30,26.3,46.3,4081.6,528.2,4.3,386.5,52.2
2019-09-20 20:45,26.3,46,4206.4,541.8,4.6,384.4,52.3
2019-09-20 21:00,26.4,45.8,4178,543.9,4.7,384.5,52.1
2019-09-20 21:15,26.4,45.6,4001.9,519.2,5,382.9,52.3
2019-09-20 21:30,26.5,45.3,3595.6,488.6,5.3,382.8,52
2019-09-20 21:45,26.7,46.5,3468.6,492.2,5.8,382.8,51.4
2019-09-20 22:00,25.5,50.2,3229.7,474.4,5.8,383.8,53.3
2019-09-20 22:15,25,50.3,3174.8,482.4,5.2,390.5,52.6
2019-09-20 22:30,25.1,49.2,3192.3,484.9,4.9,392.3,52.8
2019-09-20 22:45,24.9,49,3168.5,482.2,4.5,394.1,52.7
2019-09-20 23:00,24.9,47.8,3101,474.3,4.1,395.2,52.4
2019-09-20 23:15,25,46.7,2884.2,443.7,4,395.5,52
2019-09-20 23:30,25.1,45.3,2541.5,407,4,396.1,51.7
2019-09-20 23:45,25.6,44.7,2424.9,399.3,4.1,395.8,50.8
2019-09-21 0:00,25.7,45.3,2399.1,400.6,4.1,395.1,50.3
2019-09-21 0:15,25.8,45.4,2340.3,395.9,4.1,30.7,50.2
2019-09-21 0:30,25.8,45.6,2229.2,386.1,4.1,0,50.2
2019-09-21 0:45,25.8,45.9,2046,364.6,4.2,0,50.2
2019-09-21 1:00,25.8,46.1,1913.6,349.3,4.1,0,50.1
2019-09-21 1:15,25.9,46.3,1748.8,323.4,4.2,0,50.2
2019-09-21 1:30,25.9,46.8,1382,256.1,4.3,0,50.2
2019-09-21 1:45,25.9,47,1193.8,223.7,4.2,0,50.2
2019-09-21 2:00,25.8,47.5,1019.9,180.2,4.4,0,50.1
2019-09-21 2:15,25.9,47.5,960.5,172.3,4.3,0,50.1
2019-09-21 2:30,25.8,47.8,842.6,144.6,4.2,0,50.1
2019-09-21 2:45,25.8,47.9,791.3,133.8,4.2,0,50.1
2019-09-21 3:00,25.8,48,737.1,124,4.1,0,50.3
2019-09-21 3:15,25.2,48.4,709.8,111.7,4,315.7,53.4
2019-09-21 3:30,24.3,50.3,645.6,89.9,4,400.3,52.6
2019-09-21 3:45,24,57.7,536.9,102.4,5.4,111.3,50.9
2019-09-21 4:00,24.9,53.6,451.6,49,5.1,0,50.3
2019-09-21 4:15,25,52.9,402.6,20.1,4.8,0,50.2
2019-09-21 4:30,25.2,52.1,400.1,20,4.3,0,50.4
2019-09-21 4:45,25.4,51.6,400,20.1,4.4,0,50.3
2019-09-21 5:00,25.4,51.5,400,20.1,4.3,0,50.4
2019-09-21 5:15,25.5,51.7,400,20.2,4.1,0,50.3
2019-09-21 5:30,25.5,52.3,400,20,4.2,0,50.3
2019-09-21 5:45,25.5,52.8,400,20,4.2,0,50.3
2019-09-21 6:00,25.5,53.2,400,20.1,4.3,0,50.1
2019-09-21 6:15,25.5,53.9,400,23.1,4.2,0,50.3
2019-09-21 6:30,24.3,57.4,400,30.6,4.1,0,51.6
2019-09-21 6:45,23.7,60.2,400,32.2,4,201.7,51.5
2019-09-21 7:00,23.7,61.1,400.5,25.9,3.8,403.4,51.3
2019-09-21 7:15,23.7,61.3,412,33.9,3.7,406.1,51.2
2019-09-21 7:30,23.8,61.5,423.7,35.7,3.5,406.7,51.2
2019-09-21 7:45,23.8,61.7,436.6,40.6,3.2,412.5,51.4
2019-09-21 8:00,23.9,62.3,464,47.2,3.1,415.9,51.6
2019-09-21 8:15,24.1,62.5,502.5,55.4,3.2,416.1,51.7
2019-09-21 8:30,24,63,492.6,49.5,3.5,416,51.5
2019-09-21 8:45,24,63.3,490.1,48.4,3.5,415.6,51.3
2019-09-21 9:00,24.1,63.5,512.4,59.7,3.3,421.8,51.8
2019-09-21 9:15,24,61.6,582.8,79.4,3.5,416.5,51.8
2019-09-21 9:30,23.8,58.2,681.2,96.8,3.2,426.9,51.8
2019-09-21 9:45,23.7,56.1,747.2,93.3,3.1,450.2,51.7
2019-09-21 10:00,23.8,59.7,771.9,104.7,3.4,436.1,51.7
2019-09-21 10:15,24,62.3,750,106.3,3.5,421.2,51.7
2019-09-21 10:30,23.9,60.7,791.6,113.9,3.2,431.9,51.6
2019-09-21 10:45,23.9,59.8,846.9,122.7,3,430.9,51.8
2019-09-21 11:00,24,61.7,931,152.3,3,432,51.8
2019-09-21 11:15,23.9,59.7,1005.8,159.9,2.9,420.7,52.3
2019-09-21 11:30,23.9,60.7,1087.9,180.2,2.8,416.3,51.7
2019-09-21 11:45,24,61.7,1141.4,189.6,2.6,422.3,51.8
2019-09-21 12:00,23.8,58.9,1185.4,184.5,2.3,425,51.8
2019-09-21 12:15,23.8,59.7,1256.8,194.6,2.2,423.3,51.9
2019-09-21 12:30,24,62.4,1272.4,193.4,2.7,409.2,52.6
2019-09-21 12:45,23.8,60.8,1198.4,164.1,2.9,405.5,52.7
2019-09-21 13:00,23.8,62.4,1224.2,168.1,2.9,401.4,51.9
2019-09-21 13:15,23.8,63.1,1322.5,188.9,2.6,403,52.2
2019-09-21 13:30,23.7,60.4,1457.8,193.6,2.3,410.7,52.3
2019-09-21 13:45,23.9,62.2,1613.2,213.4,2.2,401.5,52.9
2019-09-21 14:00,24,61.1,1806,233.8,2.1,397.7,52.4
2019-09-21 14:15,24,59.7,1995.2,268.1,2.1,394.7,52.9
2019-09-21 14:30,24.2,61.6,2212.4,312.1,2.1,396.1,52.5
2019-09-21 14:45,24.2,60,2468.5,336.4,2,400.3,52.9
2019-09-21 15:00,24.2,58.6,2674.6,360,2,398.6,52.4
2019-09-21 15:15,24.2,58.2,2772.5,357.4,1.9,397,52.3
2019-09-21 15:30,24.2,57.7,2843.7,359.7,2,392.7,52.5
2019-09-21 15:45,24.1,57.1,2932.3,376.7,1.8,388.8,52.6
2019-09-21 16:00,24.1,56.5,3026.6,382,1.7,387.2,52.4
2019-09-21 16:15,24.1,55.8,3076.4,385,1.7,386.5,52.6
2019-09-21 16:30,24.1,55.5,3124.1,390.1,1.6,382.5,52.8
2019-09-21 16:45,24.1,54.9,3220.3,398.6,1.5,381.7,52.6
2019-09-21 17:00,24.1,54.6,3298.4,408,1.3,381,52.5
2019-09-21 17:15,24.5,53.3,3342.6,411,1.3,380.4,52
2019-09-21 17:30,25.5,53.6,3396.6,425.8,1.3,380.4,52
2019-09-21 17:45,25.8,54.8,3408.9,444.4,1.4,384,52
2019-09-21 18:00,24.5,55.1,3139.6,442.3,1.4,385,52.8
2019-09-21 18:15,23.9,53.9,3086.2,457.6,1,383,52.7
2019-09-21 18:30,23.1,64.7,3121.8,515.7,1.1,380.9,52.8
2019-09-21 18:45,23.6,64.2,3137.5,528.2,1.1,379.7,51.9
2019-09-21 19:00,23.6,61.3,3093.4,513.5,1,379.9,52.2
2019-09-21 19:15,23.8,62.8,3097.1,521.5,1,382.7,52.4
2019-09-21 19:30,23.7,61,3093.6,517.7,1,383.3,51.9
2019-09-21 19:45,23.9,62.7,3077.2,529,1,385.1,52
2019-09-21 20:00,23.8,61.2,3063.9,531.9,1,386.5,52.2
2019-09-21 20:15,23.7,61.4,3093,548.7,1,385.5,52
2019-09-21 20:30,23.8,61.7,3123.9,550,1,386,52.3
2019-09-21 20:45,23.7,59.9,3117.2,542.3,0.9,386.1,51.7
2019-09-21 21:00,23.8,61.5,3130.8,555.4,0.9,386.5,52
2019-09-21 21:15,23.6,59.5,3081.1,547.3,0.7,386.7,51.8
2019-09-21 21:30,23.9,61,3043.4,559.3,0.6,387.1,51.6
2019-09-21 21:45,24.9,60,2953.6,548.4,0.7,387.5,50.8
2019-09-21 22:00,24.1,61.2,2753,516.5,0.5,388.1,52
2019-09-21 22:15,23.7,61.6,2653.5,509.6,0.5,387.5,51.5
2019-09-21 22:30,23.7,62.8,2550.7,500.4,0.5,388.8,52
2019-09-21 22:45,23.6,62.2,2460.4,487.2,0.3,390.5,51.6
2019-09-21 23:00,23.7,63.2,2338.5,478.7,0.2,390.7,51.5
2019-09-21 23:15,23.5,62.3,2181.3,451.1,0.2,391.9,51.5
2019-09-21 23:30,23.7,62.8,2036.5,437.3,0.1,393.2,51.1
2019-09-21 23:45,24.6,59.5,1860,397.2,0.1,394,50.1
2019-09-22 0:00,25.1,58.3,1684.7,364.2,0.1,188.4,50.3
2019-09-22 0:15,25.3,57.9,1430.9,315.1,0.1,0,50.3
2019-09-22 0:30,25.3,57.8,1195.2,272.7,0.2,0,50.2
2019-09-22 0:45,25.3,57.9,1044.6,239.8,0,0,50.2
2019-09-22 1:00,25.3,57.9,945.3,210.5,0.1,0,50.2
2019-09-22 1:15,25.2,58,820.9,176.1,0.1,0,50.2
2019-09-22 1:30,25.2,57.9,746.9,157.3,0.1,0,50.2
2019-09-22 1:45,25.1,58.2,675.2,134,0,0,50.2
2019-09-22 2:00,25.1,58.2,619.8,115.6,0.1,0,50.2
2019-09-22 2:15,25.1,58.2,574.4,100.3,0.1,0,50.2
2019-09-22 2:30,25.1,58.2,536.7,89.1,0.1,0,50.2
2019-09-22 2:45,25.1,58.3,510.5,78.8,0,0,50.1
2019-09-22 3:00,25,58.4,485,67.2,0,0,50.2
2019-09-22 3:15,25,58.3,466,59,0.1,0,50.1
2019-09-22 3:30,25.1,58.2,448.8,56.7,0,0,50.1
2019-09-22 3:45,25.1,58.1,441.6,55.1,0.1,0,50.1
2019-09-22 4:00,25,58.2,432.4,53.6,0,0,50.1
2019-09-22 4:15,25,58.3,425.8,50.1,0,0,50.1
2019-09-22 4:30,25,58.4,418.3,46.7,0.1,0,50.2
2019-09-22 4:45,25,58.6,414.7,44.9,0.1,0,50.2
2019-09-22 5:00,24.9,58.9,405.5,40.2,0.1,0,50.1
2019-09-22 5:15,24.9,59.1,400.9,35.3,0.1,0,50.2
2019-09-22 5:30,24.9,59.1,400,34.2,0.1,0,50.1
2019-09-22 5:45,24.9,59.2,400,34.7,0.1,0,50.2
2019-09-22 6:00,24.8,59.3,400,32.7,0.2,0,50.1
2019-09-22 6:15,24.8,59.4,400,32.1,0.1,0,50.1
2019-09-22 6:30,23.5,62,400,35.6,0.1,0,51.3
2019-09-22 6:45,23,64.7,400,41.8,0,0,51.2
2019-09-22 7:00,22.9,65.2,400,33.3,0,0,51.2
2019-09-22 7:15,22.9,65.5,400,23.2,0,0,51.2
2019-09-22 7:30,22.9,65.6,400,20.1,0,0,51.2
2019-09-22 7:45,22.9,65.7,400,20,0,0.6,51.2
2019-09-22 8:00,22.9,65.9,400,20,0,3.6,51.2
2019-09-22 8:15,22.9,66,400,20,0,4.9,51.2
2019-09-22 8:30,22.9,66.2,400,20,0,3.4,51.2
2019-09-22 8:45,22.9,66.4,400,20,0,4.4,51.2
2019-09-22 9:00,22.8,66.6,400,20,0.1,4.4,51.4
2019-09-22 9:15,22.8,66.7,400,20,0,2.4,51.5
2019-09-22 9:30,22.8,66.8,400.1,20,0,3.1,51.7
2019-09-22 9:45,22.8,67.3,414.3,20,0.1,400.7,52.3
2019-09-22 10:00,23,67.3,435.2,20,0,404.8,51.6
2019-09-22 10:15,23.1,67,450,20,0.1,412,51.6
2019-09-22 10:30,23.2,66.9,459.1,20,0,410.6,51.5
2019-09-22 10:45,23.2,66.7,471.1,20,0,413.2,51.5
2019-09-22 11:00,23.3,66.8,490.4,20.1,0.1,420.6,51.5
2019-09-22 11:15,23.3,67,512.8,28.6,0,430.1,51.5
2019-09-22 11:30,23.3,67.2,551.1,60.8,0,434.3,51.4
2019-09-22 11:45,23.4,67.1,564.1,60.1,0,461.6,51.4
2019-09-22 12:00,23.5,67,574.9,53.2,0,467.5,51.4
2019-09-22 12:15,23.5,67,587,47.9,0,448.6,51.3
